movie_id,title,release_date,total_box_office,avg_ticket_price,screening_count,attendance_rate,country,overall_rating,description
10,碟中谍8：最终清算,2025-05-30,457000000.0,42.0,1890567.0,4.010810810810812,美国,7.7,超级人工智能“智体”即将引爆全球核弹危机，把世界推向毁灭边缘。而伊森·亨特（汤姆·克鲁斯 饰）和他的IMF小队在上次行动中遭遇重创，团队濒临分崩离析。虽然伊森已获得关闭“智体”的钥匙，但要彻底消灭“智体”，完成这一拯救全人类的终极任务，仍需要IMF小队齐心协力突破重重困难。他们不仅要面对全知全能又无影无形的“智体”与其手下盖布瑞尔（埃塞·莫拉雷斯 饰）的百般阻拦，还要解决来自过去的种种恩怨。每个抉择都关乎信念与命运，等待伊森和IMF小队的，究竟是怎样的结局？
11,光之子,,379000.0,,2211.0,14.086666666666671,,7.2,"13岁的梅朵学习生活在藏地的一所福利学校，父母离异后，梅朵只能留在年迈的外公外婆身边，为了找回从小缺失的亲情，梅朵克服种种困难，一个人勇敢的到草原深处去寻找爸爸，看见爸爸家庭幸福，有儿有女有牛羊有草原，梅朵内心五味杂陈而又无处诉说，她迎着阳光，手握画笔，表达自己的渴望与想象。
在商业社会数字时代，人们通过网络交流情感，改变着传统的生活方式和游牧文化，离婚率的不断攀升已经成为了一个社会问题，影响着越来越多的家庭，很多孩子在婚变中沦为了“孤儿”。
《光之子》记录了少女梅朵独自踏上一段寻找父亲和归宿的如梦般的心之旅，展现了在时代的变迁中，一个幼小的生命克服重重挑战，坚强成长的故事。"
12,因你而动,,,,,,,,"“蝶皇”美女庄梦蝶,在木偶舞剧《梁祝》梁山伯角色选拔赛中意外落选,梦蝶由此面临着人生、爱情、性别角色错乱、非遗文化传承的巨大转变与挑战…"
13,谢谢你爱我,,2322.0,,70.0,2.9624999999999995,,,林果果与钱彬是恋人，落入毒贩圈套染上毒瘾不能自拔，暗恋林的同事冯晓楠将她送去戒毒，戒毒成功的林，重返舞台排练新舞蹈。 钱成为警方卧底，最后用生命代价破获了贩毒集团，完美的履行了自己的承诺。
14,带彩球的帐篷,,80000.0,,37.0,7.7250000000000005,,,故事改编自石舒清短篇小说《花开时节》，发生在中国西北一个叫舒家川的小村庄，苜蓿花盛开的时节。来自外省的养蜂人李韩在此安营扎寨，养蜂采蜜，与常在附近铲草的当地姑娘麦麦产生了一段若有若无，似弱还强的感情纠葛。李韩自有隐情，麦麦也已订婚，加上小男孩素素往来穿梭于其中，频造波澜，令感情不知走向何方……
15,刮大风,,199000.0,,1275.0,6.576923076923076,,,"《刮大风》是一部通过“诗情画意”的形式，表现生长在黄土高原上的人们生活状态的民俗艺术片。
上世纪二十年代，中国陕北。
陕北老汉张守川和儿子张三娃、孙子拴牛，一辈子生活在陕北，以耕种为生。对于靠天吃饭的庄稼人而言，风调雨顺是他们最大的期望。 春耕，夏锄，秋收，冬歇，这般自给自足的自然形态描述了旧社会陕北日常的生活图。他们在歌声中劳作，在喜怒哀乐中轮回。
次年立春前后，张守川寿终正寝，走完了他平凡而伟大的一生。按照陕北的习俗，张三娃一家在悲痛中为父亲举行了隆重的陕北风俗葬礼……生活要继续，葬礼之后，张三娃接过父亲的羊鞭，并承担起家族首领的责任。"
16,金色少年,,260000.0,,1047.0,13.992857142857142,,,"1982年末，懵懂少年陈小潞在小伙伴多多家第一次看到了电视。多多的自视清高随意换台伤害了自尊心强的小潞。
回家后，心情不畅的小潞去供销社偶遇本家爷爷盲人老九，听到老九与人冲突。前去探听的小潞，竟发现失明的老九与村支书陈全有有一段藏在唢呐里的陈年秘事。
小潞父亲陈学礼从县教育局带来一台小型录音机给小学升国旗用。小潞第一次听到收音机里的国歌声后，瞬间滋生了在小朋友面前吹嘘的虚荣心。陈学礼再三叮嘱不能拿着公物对外显摆，小潞为了反击多多，最终还是把录音机偷了出来在小伙伴面前炫耀。小伙伴们慌乱中按坏了录音机，四处逃散。
弄坏录音机的小潞不敢回家，找到老九，并向老九讲述了事情的经过。老九找借口说服小潞家人，带小潞去了县城修录音机。
修理中，小潞得知录音机并没有坏，只是磁带被洗掉，小潞突发奇想，提议让老九用唢呐演奏国歌，自己录制。
发誓不碰唢呐的老九，带小潞去曲艺..."
17,堡垒,,6230000.0,,1673.0,40.01789473684209,,,"电影主要讲述了在大革命时期，“韶山五杰”等革命志士在严峻的生死考验下执行秘密任务，与敌人斗智斗勇的故事。谍海暗战的精彩与时代洪流背景下的理想与信仰将一一呈现。
主角毛稼轩（陈明昊 饰）与沈卓宜（郭晓东 饰）因执行一项秘密任务展开殊死暗战，两人同时自认“庞德甫”的代号身份 ，究竟谁才是真正的“庞德甫”，这一代号又意味了什么？人物身份多重反转，真相扑朔迷离。"
18,海岛书店,,,,6.0,,,,"电影《海岛书店》是一个充满人文关怀和诗情画意的故事。林小青(孔雁饰),一个三十多岁的模特,身患癌症后的她心情暴跌,放弃了事业与生活独自来到小岛。在她伤心欲绝之余,遇到了在海岛上开民宿为生的陈浪(孙宁饰)——一个机灵,会赚小钱的海岛青年。陈浪一心想要实现姥爷的梦想,在海岛上开一家书店,并找到生活的根基。在陈浪的帮助下,小青重新找到了生命的意义。故事极富戏剧化,又充满现实的影子。该片也是北京电影学院“电影长片培养计划”的重磅力作之一。"
19,还有明天,,44971000.0,,351407.0,3.8992000000000004,,9.4,1946年二战后的意大利，女性地位依旧低下。底层女性迪莉娅（宝拉·柯特莱西 Paola Cortellesi 饰），每日在丈夫的暴虐下和生活琐碎中艰难生存，唯有女儿玛塞拉、朋友玛丽莎和每日难得的自由踱步是她痛苦生活中的慰藉……这时，迪莉娅意外收到一封神秘信件，一场出逃即将改变一切……
20,雷神2：黑暗世界,2013-11-08,342400000.0,39.0,,,美国,7.4,"纽约大战后，雷神索尔（克里斯·海姆斯沃斯 Chris Hemsworth 饰）将弟弟洛基（汤姆·希德勒斯顿 Tom Hiddleston 饰）带回仙宫囚禁起来，此外帮助九大国度平定纷争，威名扶摇直上。虽然父王奥丁（安东尼·霍普金斯 Anthony Hopkins 饰）劝其及早即位，但索尔念念不忘地球的美丽女孩简·福斯特（娜塔丽·波特曼 Natalie Portman 饰）。与此同时，简在和黛西及其助手伊安调查某个区域时意外被神秘物质入侵，却也因此重逢索尔，并随其返回仙宫。令人意想不到的是，藏在简体内的物质来自远古的黑暗精灵玛勒基斯（克里斯托弗·埃克莱斯顿 Christopher Eccleston 饰）。在“天体汇聚”的时刻再次到来之际，玛勒基斯企图摧毁九大国度，缔造一个全然黑暗的宇宙。
藏匿简的仙宫受到重创，而索尔和洛基这对冤家兄弟也不得不联手迎战..."
21,折翼的天使,,2406000.0,,2555.0,27.362790697674424,,7.9,"凉子（上野樹里饰）从小被母亲遗弃，从孤儿院出来后，也没有固定职业，终日靠打小钢珠赚钱生活。其实凉子内心深处很渴望得到爱的关怀，对每一份感情，她都无怨无悔的付出，却总是难逃被抛弃的命运，凉子开始怀疑这世界上是否有真爱的存在。
一日，同住的男朋友突然消失，还留下一个5岁的小男孩建太（增田佳彬饰）拜托凉子照顾，一开始感到麻烦的凉子在和建太相处中却渐渐感受到人间的温暖……
另外三集各讲述了三位身份、命运各异的年轻女子因为遭遇到某些伤害在人生路上徘徊，最终还是在他人的关爱下找回自己的故事。
相信爱，爱就会存在。"
22,地心历险记,2008-09-28,60250000.0,48.0,,,美国,6.9,虽然特雷弗（布兰登·费舍 Brendan Fraser 饰）是大学的地质教授，但是却经常做出挑战传统的事情。他认为，凡尔纳的小说并不是科幻，而是真是存在的。就是因为这样的对立理论，使其被传为学院里的笑话，使得他的学术名声毁于一旦。不过特雷弗却毫不在意这些，他坚信自己的理 论是正确的。为了验证自己的理论，特雷弗带着侄子肖恩（乔什·哈切森 Josh Hutcherson 饰）和当地的向导汉娜（安妮塔·布瑞姆 Anita Briem 饰）开始了在冰岛的旅行。在旅行时，三人意外发现一个奇特的洞穴，并在探询时踏破薄冰跌入了无底深渊。不过，当他们醒来时，却发现了一个神秘的地心世界，里面有着各种稀奇古怪的生物，与凡尔纳小说里面描述的场景一模一样。证据终于找到了，但是如何将证据带回地上？特雷弗三人开始了寻找出路之旅……
23,坂本龙一：杰作,,4945000.0,,623.0,10.946153846153846,,9.4,作为坂本龙一献给世界最后的礼物，影片记录了坂本龙一生前最后一场钢琴独奏音乐会，其中包括《圣诞快乐，劳伦斯先生》《末代皇帝》《水》等在内的二十首经典曲目。
24,红城往事,,5786.0,,4.0,,,,影片取材于遵义市区红军山上卫生员塑像原型龙思泉的感人事迹。讲述了长征时期，红军卫生员冒着生命危险，经过一系列的艰难曲折，破除了反动势力的阴谋诡计，成功救治了染上“鸡窝寒”的老百姓的故事。大磊与玉荣随红军医疗队长征到遵义，他们驻扎的村子里，当时正蔓延着一种可怕的传染病。大磊好不容易研究出了药方，但村民服药后竟中毒身亡。医疗队员们克服重重困难，查清村民死亡真相，成功救治了村民后，大磊却莫名失踪了。玉荣收养的孙女带着她的遗愿，来到遵义寻找大磊爷爷的下落。
25,潜艇总动员5：时光宝盒,,47057000.0,,127.0,2.8,,5.0,"小潜艇阿力前往海底深处执行任务，遭遇史无前例的意外事件。小鲨鱼梅莎拒绝成为爸爸独眼鲨那样鱼见鱼怕的海底霸王，内心幻想成为小潜艇阿力一样的海底英雄。她无意之中得到的神秘宝盒，却把爸爸独眼鲨变回了童年的模样。当宝盒离奇失踪后，海底游乐场惊现神秘大怪物……
为探寻谜底拯救海底世界，小潜艇带着超萌小动物们一起踏上了神奇的寻宝冒险之旅。"
26,生化危机：终章,2017-02-24,1111820000.0,35.0,,,美国/德国,6.5,爱丽丝（米拉·乔沃维奇 Milla Jovovich 饰）在华盛顿特区被威斯克背叛后身陷险境，人类几乎要失去最后的希望。作为唯一的幸存者，也是人类对抗僵尸大军的最后防线，爱丽丝必须回到噩梦开始的地方——浣熊市，才能完成拯救世界救赎人类的正义使命。回归故事发生的起点浣熊市，爱丽丝将和昔日的朋友一起对抗僵尸和最新变种怪物，与 保护伞公司展开了一场惊心动魄的终极决战。
27,阿里巴巴与神灯,,22235000.0,,319.0,1.2333333333333334,,,"强盗弯刀在沙漠挖掘宝藏之时意外惊动了封印中的噩梦君，噩梦君蛊惑弯刀打开封印，噩梦君再次复活黑暗降临。封印大师小芝麻被邀请参加拍卖会，一个来自阿兹罗德的宝箱突然释放出梦魇诅咒，将小芝麻拖入可怕梦境。
为了救小芝麻的阿里巴巴翻遍冒险宝典，从预言中判断出噩梦封印已经松动，恐怖的魔物即将出世，必须马上阻止。冒险界的新秀阿拉丁得知此消息后与阿里巴巴立下战书，谁最先打败噩梦君，谁就是最强冒险家，一场关乎冒险者声誉的比赛拉开帷幕。复活后的噩梦君释放黑暗能量,让弯刀变成刀枪不入的怪物。阿里巴巴与阿拉丁联手打败弯刀，最终在神灯精灵和小芝麻的配合下将噩梦君再次封印，世界重归和平。"
28,超能陆战队,2015-02-28,526000000.0,37.0,3.0,,美国,8.8,"未来世界的超级都市旧京山（San Fransokyo），热爱发明创造的天才少年小宏，在哥哥泰迪的鼓励下参加了罗伯特·卡拉汉教授主持的理工学院机器人专业的入学大赛。他凭借神奇的微型磁力机器人赢得观众、参赛者以及考官的一致好评，谁知突如其来的灾难却将小宏的梦想和人生毁于一旦。大火烧毁了展示会场，而哥哥为了救出受困的卡拉汉教授命丧火场。身心饱受创伤的小宏闭门不出，哥哥生前留下的治疗型机器人大白则成为安慰他的唯一伙伴。原以为微型机器人也毁于火灾，谁知小宏和大白竟意外发现有人在某座废弃工厂内大批量地生产他的发明。
稍后哥哥的朋友们弗雷德等人也加入进来，他们穿上小宏发明的超级战士战斗装备，和怀有险恶阴谋的神秘对手展开较量……"
29,山庄·惊魂,,1483000.0,,30250.0,1.3666666666666665,,,泰国百年凶宅班蓬鬼屋，首度搬上大银幕！暴雨噬魂，山庄堕入异度阴间！ 东南亚，环宇公司总裁高强携妻儿员工入住泰国百年山庄——此地正是1983年震惊泰国的灭门悬案现场，怨气浓烈！怪雨夜，鬼门大开，古钟倒转、符咒自焚，山庄堕入阴阳交界！老板高强欢宴后暴毙，次日离奇尸变失踪，监控拍下白影游荡，员工接连“鬼上身”：司机自掐喉咙而亡；高云江夜夜被亡父高强鬼影缠身。 保安林楠女友肖扬也中邪发疯，林楠为破解这无形的力量，发现山庄受到怨灵诅咒，成为“阴阳牢笼”！如今暴雨重启邪阵，山庄沦为亡灵猎场，还魂祭坛：针灸盒渗腐血、浴镜映鬼影、走廊尽头无头冤魂索命，幸存者被迫直面阴间法则，他们如何才能撕开裂缝还阳……
30,神偷奶爸4,2024-07-12,423000000.00000006,40.0,1409585.0,5.348076923076925,美国,6.1,"格鲁（史蒂夫·卡瑞尔 Steve Carell 配音）和露西（克里斯汀·韦格 Kristen Wiig 配音）一家即将展开家庭生活的新篇章，迎接新成员“迷你格鲁”，而这个小宝宝也会用尽方法折磨格鲁这个新手老爸。
新反派恶霸麦斯（威尔·法瑞尔 Will Ferrell 配音）和他既致命危险又美丽性感的女友华伦天娜（索菲娅·维加拉 Sofía Vergara 配音）来势汹汹，格鲁一家面临未知危险。此时，全新超级小黄人重磅亮相，成为帮助格鲁一家度过这次危机的“秘密武器”。一场惊险刺激、笑料百出的全新冒险即将展开。"
31,吉庆街火,,21000.0,,165.0,9.467857142857142,,,《吉庆街火》是一部由真实故事改编的电影，也是一部充满温情与感动的电影。电影将镜头集中在了湖北武汉一条真实的夜市一条街上，展示了处在现代化都市一个角落的市井街巷的纷杂与繁华，卑微与善良，世俗与质朴，以点带面，对以吉庆街为代表的城市生活，以及从外乡来到此地的各色人等的生存状态，人与人之间为了生存或者说生活所建立的既排斥又依靠的关系，作了较为深入的诠释。《吉庆街火》电影中的众多人物，好像在生活中还有点失败，但又不是那种让人瞠目的有美女在侧的失败的英雄，味道似乎淡了些，但这些人真实，有血肉，就生活在我们身边，好像就是我们的父母叔嫂、兄弟姐妹，这种天然的关系让我们在看时多了一种亲近感。影片让我们再一次在“历史理性”与“人文关怀”中徘徊，在“新”与“旧”中徘徊，并让我们在内心里重述了一条我们认定的法则，即每一个时代，最大的事情，就是最终期待并能够让每一个人生活得...
32,我们一起摇太阳,,274000000.0,,4.0,,,8.0,"当“没头脑”吕途（彭昱畅 饰）遇上“不高兴”凌敏（李庚希 饰），两个身患重症却性格迥异的年轻人，因为“生命接力”的约定，阴差阳错地踏上了一段充满爱与力量的治愈之旅。
影片是韩延导演“生命三部曲”终章，部分取材于纪实报道文章《最功利的婚姻交易，最动情的永恒约定》。"
33,精武风云·陈真,2010-09-21,138210000.0,33.0,,,中国/中国香港,6.1,"http://site.douban.com/106750/ 精武风云·陈真豆瓣小站
为弘扬民族正气，精武英雄陈真（甄子丹 饰）当年在上海虹口道场击杀日本武术高手。在此之后他更名改姓，背井离乡，远赴法国务工。一战后陈真化名齐天元，重返阔别已久的祖国，并以实业家的身份结识了上海大亨刘禹天（黄秋生 饰）及性感妖艳的夜总会女郎KIKI（舒淇 饰）。刘张扬跋扈，大发战争财，但尚存中国人的骨气；KIKI表面单纯，实则是日本女间谍，长期潜伏夜总会搜集情报。一战虽然结束，但战争的阴影远远没有散去。陈真加入秘密的抗日组织，并希望争取到刘禹天的支持。与此同时，以皇军大佐力石猛（木幡龙 饰）为首的暗杀军团开始向爱国志士痛下杀手。
鱼龙混杂、暗流涌动的上海滩，已是黑云压城，暴雨将至……"
34,那个不为人知的故事,,112999999.99999999,,815876.0,1.5608695652173916,,4.7,"神秘的出租车司机陈铭生（邱泽 饰）与性格清冷的文物修复师杨昭（郎月婷 饰）偶然相遇，在一场暧昧、试探、你进我退的极致拉扯中，陈铭生渐渐卸下心防。在一次旅行中，陈铭生的卧底缉毒警身份暴露，二人的感情再次面临选择，这份汹涌悸动的爱能否抵挡住命运的捉弄？卧底缉毒警陈铭⽣孤勇奋战为国牺牲，又有多少⽆名英雄日日夜夜负重前⾏，守护着万家灯⽕？
影片改编自Twentine的同名小说。"
35,非常交易,,104000.0,,9930.0,0.3266666666666667,,,讲述贾云和鲍帅一对难兄难弟，在不知情势的状况下“天降横财”从而引发一系列乌龙事件。北京的屌丝贾云（小沈阳 饰）向往同学鲍帅（姜武 饰）的有钱人生活，前往澳门寻求经济帮助，却阴差阳错误将前往澳门的韩国社团得罪……
36,超级的我,,12443000.0,,2875.0,,,4.7,"如果睡觉能赚钱，如果做梦能致富，但是要付出代价，你加入吗？
18线小编剧桑榆（王大陆 饰）原本生活困顿拮据，但一夜之间却拥有了梦中取物的神奇能力，通过将梦中的宝物变现，潦倒落魄的他成为人生赢家，甚至一掷千金追求到暗恋多年的花儿（宋佳 饰），然而在梦中快意掠取的桑榆却逐渐发现，这场躺赢美梦竟将他的生活推向了失控的边缘……"
37,春风梦,,96000.0,,179.0,27.625000000000004,,,"本片讲述的是上个世纪八十年代初,春凤镇一位叫周志龙的木匠学徒，为追求美好生活放弃了稳定的木工工作，克服种种困难，白手起家，成长为全国家喻户晓的电器老板的创业故事。"
38,碟中谍5：神秘国度,2015-09-08,869770000.0,33.0,,,美国/中国,7.9,"资深特工伊森·亨特（汤姆·克鲁斯 Tom Cruise 饰）也有百密一疏时刻，他在接收最新任务时遭到神秘组织“辛迪加”的暗算落入对方手中。辛迪加是一支由全球各地前特工组成的秘密组织，此前一直被CIA视为空穴来风。在对方成员伊莎·福斯特（丽贝卡·弗格森 Rebecca Ferguson 饰）的帮助下，伊森逃出生天，并及时向威廉•布莱德（杰瑞米·雷纳 Jeremy Renner 饰）汇报了辛迪加确切存在的消息。然而此时布莱德的日子并不好过，他负责的IMF机构因俄罗斯核弹头等事件遭到CIA指控并责令解散。在得知该组织密谋刺杀奥地利总统时，伊森联系上了老搭档班吉·邓恩（西蒙·佩吉 Simon Pegg 饰）展开行动，并于谜样女郎伊莎再度相会。
接下来的一连串事件中，辛迪加的真面目逐渐揭开，而他们也终于显露出真实的目的……"
39,东四十条,,573000.0,,42268.0,22.026785714285715,,6.5,东四（杨凯航 饰）和十条（钱赓 饰）是租住在北京胡同里的两个外来年轻人。春天，他们在胡同里看到了一张重金悬赏的寻鸽启示，从此开始了他们的寻找……
40,发小儿万岁,,1503000.0,,81.0,,,5.8,北京城的某条胡同，住着自称“七小福”的七个发小儿。从小到大，他们有福一起享，有事一起扛，把彼此当作没有血缘的家人。直到变故和意外接踵而至，关系发生变化，矛盾逐渐凸显，曾经被忽略的差异与隐患被无限叠加放大，他们开始质疑彼此的真心与付出，原本牢固的小团体出现裂痕与危机。人生路上考验不断，他们能否顺利度过难关，捍卫自己的友情？
41,夏季成人礼,,245000.0,,1054.0,10.0375,,,影片聚焦父女亲情，讲述女儿在18岁成人礼之际离家出走后，原本水火不容的生父和继父增进了解，并共同寻女的故事。
42,残香无痕,,17000.0,,1.0,,,6.1,影片讲述了九十年代一对兄弟和一个女人之间的爱恨情仇，借助“宿命”这一主题，表达当下人们在现实困惑下找寻出口时的哀叹和坚强。剧中老大粗暴闷实，老二细腻犹豫，女人难以取舍，三人之间的伦理孽缘将他们困顿。借着各自人性深处最微弱的光芒，他们在黑暗中不断地前行，寻找…
43,心理有秘密,,131000.0,,12034.0,9.860000000000001,,,"全职带二娃的母亲宋雨燕（刘园媛 饰）患产后抑郁濒临崩溃。学霸女儿宋怡然（刘亦然 饰）自残伤疤下藏着一颗被高考失利、父母忽视、妹妹夺爱碾碎的心；网红妹妹宋雨娇（孙子钧 饰）被网暴情绪失常，直播翻车；丈夫马翔东（郑昊 饰）对家庭的忽略让丧偶式婚姻走到绝境；宋雨燕父亲（陈逸恒 饰）因退休失落，续写家谱、张罗升学宴寻求存在感。没想到宋怡然却突然失踪了……
一家人各有心理问题，却因病耻感互相隐瞒。已撕裂的亲情能否冰释前嫌？心理咨询师柳志诚（王梓尘 饰）同样有难言之隐。各怀秘密的众人亟待以爱破局！"
44,棒！少年,,,,,,,8.5,一群来自全国各地的困境少年，被选进北京市郊一个爱心棒球基地，组成了一支特殊的棒球队，跟着70岁传奇教练“师爷”从零开始学习打棒球。 少年马虎以“刺头”状态闯进了基地，天天打架干仗；而“元老球员”小双心思细腻敏感，对未来满是怀疑和不确定。不同家庭背景和心性习惯的少年在一起训练、生活，一支棒球棍，把他们带进无尽的冲突和欢乐，也带给他们久违的热血与梦想。 几个月后，他们将飞往美国，代表中国登上世界少棒的顶级赛场，但基地的球场和宿舍却面临拆迁…… 少年们能否逆风挥棒，叫板自己的命运？
45,无名,2023-01-22,931580000.0,52.0,,,中国,6.6,"20世纪40年代，上海正处于孤岛时期。各方势力犬牙交错，他们有姓无名，从不同的立场影响着历史走向。设在租界的76号特务机关，是听命于汪伪政府并服务日本帝国主义的邪恶机构。76号的主任何先生（梁朝伟 饰）巧舌如簧，粉饰太平，周游于日本特务机关长渡部（森博之 饰）和投机分子唐部长（大鹏 饰）中间，而他的微笑背后似乎别有深意。特务人员王先生（王传君 饰）和叶先生（王一博 饰）是一对听命于政治强权的好友，几具日本人的尸体，让他们的命运开始转向。承受不住革命的重压和死亡的威胁，原地下党成员张先生（黄磊 饰）突然叛变，他的变节使诡局走向激化。
命运多舛，弃生向死，向死而生！"
